epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
56,535.268,0.563,2.20195,1.23805,0.00333,1,0.731,0.37097,0.5559,3.17484,1.53051,0.00150315,0.00050105,0.00150315,0.00050105,0.00150315,0.00050105,0.00150315,0.00050105
57,547.828,0.65309,2.04798,1.2502,0.00333,1,0.7435,0.39847,0.56363,3.1452,1.51447,0.00149722,0.000499072,0.00149722,0.000499072,0.00149722,0.000499072,0.00149722,0.000499072
58,551.866,0.66965,2.02628,1.28182,0.00333,1,0.7435,0.39847,0.56363,3.1452,1.51447,0.00149009,0.000496698,0.00149009,0.000496698,0.00149009,0.000496698,0.00149009,0.000496698
59,555.787,0.49534,1.98575,1.18612,0.00333,1,0.7435,0.39847,0.56363,3.1452,1.51447,0.00148178,0.000493928,0.00148178,0.000493928,0.00148178,0.000493928,0.00148178,0.000493928
60,568.352,0.62633,2.04731,1.25406,0.00333,1,0.73477,0.40675,0.57397,3.14242,1.49558,0.00147229,0.000490762,0.00147229,0.000490762,0.00147229,0.000490762,0.00147229,0.000490762
61,572.318,0.73999,2.1001,1.45397,0.00333,1,0.73477,0.40675,0.57397,3.14242,1.49558,0.0014616,0.0004872,0.0014616,0.0004872,0.0014616,0.0004872,0.0014616,0.0004872
62,576.299,0.57936,1.9456,1.22997,0.00333,1,0.73477,0.40675,0.57397,3.14242,1.49558,0.00144973,0.000483242,0.00144973,0.000483242,0.00144973,0.000483242,0.00144973,0.000483242
63,588.8,0.73779,2.10082,1.31727,0.00333,1,0.80633,0.45298,0.59195,3.14952,1.46045,0.00143666,0.000478888,0.00143666,0.000478888,0.00143666,0.000478888,0.00143666,0.000478888
64,592.754,0.57098,1.95035,1.17641,0.00333,1,0.80633,0.45298,0.59195,3.14952,1.46045,0.00142241,0.000474138,0.00142241,0.000474138,0.00142241,0.000474138,0.00142241,0.000474138
65,596.694,0.83886,2.02998,1.37216,0.00333,1,0.80633,0.45298,0.59195,3.14952,1.46045,0.00140698,0.000468992,0.00140698,0.000468992,0.00140698,0.000468992,0.00140698,0.000468992
66,609.282,0.71973,2.03738,1.32502,0.00333,1,0.79402,0.47466,0.57727,3.04854,1.4381,0.00139035,0.00046345,0.00139035,0.00046345,0.00139035,0.00046345,0.00139035,0.00046345
67,613.439,0.53621,1.81311,1.21309,0.00333,1,0.79402,0.47466,0.57727,3.04854,1.4381,0.00137254,0.000457512,0.00137254,0.000457512,0.00137254,0.000457512,0.00137254,0.000457512
68,617.526,0.53262,1.89609,1.27221,0.00333,1,0.79402,0.47466,0.57727,3.04854,1.4381,0.00135353,0.000451178,0.00135353,0.000451178,0.00135353,0.000451178,0.00135353,0.000451178
69,630.125,0.60602,2.03106,1.20812,0.00333,1,0.78544,0.4902,0.58944,2.99944,1.44571,0.00133334,0.000444448,0.00133334,0.000444448,0.00133334,0.000444448,0.00133334,0.000444448
70,634.182,0.70704,1.93417,1.27493,0.00333,1,0.78544,0.4902,0.58944,2.99944,1.44571,0.00131197,0.000437322,0.00131197,0.000437322,0.00131197,0.000437322,0.00131197,0.000437322
71,638.174,0.72513,1.91178,1.30172,0.00333,1,0.78544,0.4902,0.58944,2.99944,1.44571,0.0012894,0.0004298,0.0012894,0.0004298,0.0012894,0.0004298,0.0012894,0.0004298
72,650.616,0.6181,1.78253,1.1911,0.00333,1,0.83125,0.50575,0.60761,2.93328,1.4836,0.00126565,0.000421882,0.00126565,0.000421882,0.00126565,0.000421882,0.00126565,0.000421882
73,654.694,0.49901,1.7286,1.13991,0.00333,1,0.83125,0.50575,0.60761,2.93328,1.4836,0.0012407,0.000413568,0.0012407,0.000413568,0.0012407,0.000413568,0.0012407,0.000413568
74,658.752,0.62815,1.78241,1.2097,0.00333,1,0.83125,0.50575,0.60761,2.93328,1.4836,0.00121457,0.000404858,0.00121457,0.000404858,0.00121457,0.000404858,0.00121457,0.000404858
75,671.298,0.5843,1.71388,1.17141,0.00333,1,0.82458,0.50535,0.6109,2.89933,1.49527,0.00118726,0.000395752,0.00118726,0.000395752,0.00118726,0.000395752,0.00118726,0.000395752
76,675.324,0.57137,1.76794,1.15603,0.00333,1,0.82458,0.50535,0.6109,2.89933,1.49527,0.00115875,0.00038625,0.00115875,0.00038625,0.00115875,0.00038625,0.00115875,0.00038625
77,679.433,0.45927,1.73579,1.13476,0.00333,1,0.82458,0.50535,0.6109,2.89933,1.49527,0.00112906,0.000376352,0.00112906,0.000376352,0.00112906,0.000376352,0.00112906,0.000376352
78,691.914,0.62356,1.78546,1.16183,0.11603,1,0.86667,0.54407,0.62128,2.86076,1.50369,0.00109817,0.000366058,0.00109817,0.000366058,0.00109817,0.000366058,0.00109817,0.000366058
79,695.922,0.51581,1.68981,1.14768,0.11603,1,0.86667,0.54407,0.62128,2.86076,1.50369,0.0010661,0.000355368,0.0010661,0.000355368,0.0010661,0.000355368,0.0010661,0.000355368
