epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,226.375,1.41887,1.08156,1.55371,0.5444,0.64047,0.52044,0.18836,2.14208,3.09363,2.57435,0.00100687,0.00100687,0.00100687
62,229.621,1.28303,0.98338,1.45407,0.58984,0.68,0.5218,0.17913,2.03917,2.75276,2.30048,0.000995866,0.000995866,0.000995866
63,233.467,1.54875,1.14529,1.64029,0.56561,0.72,0.52136,0.17853,1.99077,2.73534,2.21422,0.000984864,0.000984864,0.000984864
64,236.411,1.47359,1.07272,1.51369,0.5589,0.664,0.50255,0.18722,1.99285,2.96709,2.15255,0.000973861,0.000973861,0.000973861
65,239.15,1.31465,1.06021,1.46987,0.5589,0.664,0.50255,0.18722,1.99285,2.96709,2.15255,0.000962859,0.000962859,0.000962859
66,243.416,1.36493,1.22427,1.67535,0.56959,0.632,0.46688,0.16849,2.07472,2.84975,2.33316,0.000951857,0.000951857,0.000951857
67,247.229,1.47672,1.02824,1.54794,0.51205,0.592,0.38392,0.12359,2.31951,2.99305,2.77726,0.000940855,0.000940855,0.000940855
68,250.833,1.41407,0.983,1.51093,0.44801,0.416,0.25984,0.08441,2.60897,3.47177,3.28993,0.000929853,0.000929853,0.000929853
69,254.096,1.37424,1.09371,1.54541,0.44801,0.416,0.25984,0.08441,2.60897,3.47177,3.28993,0.00091885,0.00091885,0.00091885
70,257.517,1.24576,1.00949,1.52025,0.40229,0.464,0.24515,0.07447,2.68963,3.53846,3.40904,0.000907848,0.000907848,0.000907848
71,260.939,1.38435,1.27056,1.693,0.46079,0.48,0.30843,0.09012,2.48532,3.29181,3.02377,0.000896846,0.000896846,0.000896846
72,264.836,1.28253,1.04129,1.52177,0.5337,0.544,0.37398,0.11487,2.22329,2.89067,2.59199,0.000885844,0.000885844,0.000885844
73,268.404,1.35131,0.92629,1.4269,0.5337,0.544,0.37398,0.11487,2.22329,2.89067,2.59199,0.000874842,0.000874842,0.000874842
74,271.811,1.50659,0.99931,1.57374,0.53082,0.65167,0.44492,0.14557,2.11026,2.77252,2.41418,0.000863839,0.000863839,0.000863839
75,274.634,1.39843,1.04588,1.44969,0.59752,0.624,0.48635,0.1662,2.05136,2.72908,2.31321,0.000852837,0.000852837,0.000852837
76,277.034,1.25988,0.99204,1.5334,0.60522,0.65003,0.51787,0.17461,2.06553,2.63661,2.35303,0.000841835,0.000841835,0.000841835
77,279.901,1.31422,1.0262,1.48514,0.60522,0.65003,0.51787,0.17461,2.06553,2.63661,2.35303,0.000830833,0.000830833,0.000830833
78,282.451,1.27197,1.04714,1.47712,0.5935,0.71248,0.50659,0.16523,2.03338,2.58757,2.26652,0.000819831,0.000819831,0.000819831
79,284.884,1.34161,0.99762,1.48857,0.57573,0.736,0.50699,0.15459,2.0396,2.65858,2.18994,0.000808828,0.000808828,0.000808828
